ID,CALORIES,PROTEIN,FAT,CARBOHYDRATE,FIBER
8ad115e4-4b71-4308-9009-28bca9f9c82e,207,8,3,34,8
a9b27026-9ad0-464d-93d0-76e16bc1db65,305,5,7,57,9
8e839f02-46a7-4a16-bf53-8da8970c531b,397,26,16,45,9
c455c856-b1ae-44bb-8046-201df7383b37,694,58,31,52,11
eaf32547-aa32-4414-9176-fec8deac050b,701,27,25,108,20
61cf06d9-ea0d-4a89-9167-e94afe1ec4de,408,19,16,48,2
91b8d4c8-c4f2-4a10-bb35-02af8c128761,156,4,7,23,5
1bcd5315-eff7-44a1-b5ef-6b0f2c8428fb,711,48,23,80,15
81127435-045a-49a2-966b-f9bb17bd8ab8,698,17,35,91,16
dd061711-cb2e-4015-933a-e74a629b55f5,700,33,31,78,10
2353caf7-c77d-4b4d-920c-192929999ad1,696,52,25,70,9
0b757bb5-377b-4aa6-8631-da853c75eb13,698,41,45,42,9
f5b54de9-cf64-4b1b-9eae-c6dff0bfaa72,317,39,17,1,1
906f6904-4e40-4db4-ae25-77ea09f12f37,408,39,11,43,7
ce75d775-de5b-49d2-8397-6644e64e54d7,711,37,41,47,5
31678d49-fe1a-4fe4-b658-b49404d1a551,391,26,16,41,7
6f534567-2b4d-4c29-80a8-3cec0f2f6ea2,706,49,11,112,121
c0360acd-1fc7-4fac-963a-6268823d9630,404,19,16,48,7
3f01f73b-9259-4c52-a565-4c6853620b64,399,20,24,30,5
bb394f0a-1782-4ba4-984a-c4075cc046d5,399,8,8,79,7
e5a6429d-6165-44a8-b8f5-9cf7fa992ed7,405,17,14,58,7
0eb4fdbe-40fa-4a2c-9a59-73f454db44cd,402,35,27,8,2
58f85d65-9af2-442c-9386-18dad0a8df77,404,22,19,38,3
19eb7bf4-6b8f-4f00-89fa-1560a9c2fc65,761,24,42,69,6
bfbf991e-1d8a-4ec8-a4e2-71a15fad3bbb,456,6,42,17,3
