id,hint,exercise_id
73da30a3-3bdd-454a-b460-854e0b8d24ee,Kontroluj ruch podczas trwania ćwiczenia.,19867305-45b8-48d7-b9bb-05ecc7aab9a1
8d659622-d62d-4d0a-b757-ef33b6c6648d,Bądź skoncentrowany.,19867305-45b8-48d7-b9bb-05ecc7aab9a1
2bdd0bae-3ea9-4423-933d-ba0e9349af80,Bardzo mocne napięcie mięśni brzucha i pośladków pozwoli zachować prawidłową (wyprostowaną) postawę.,19867305-45b8-48d7-b9bb-05ecc7aab9a1
ce9e276e-54bb-4a85-95ae-828830693273,Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.,19867305-45b8-48d7-b9bb-05ecc7aab9a1
86377146-2358-4b22-92a4-17cc3e060d9b,Utrzymuj stałe napięcie mięśni.,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
620cf7a0-bbef-4984-85be-ae1fd751e065,Postaraj się nie wyginać nadmiernie nadgarstków.,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
9181939c-a7fb-412e-9b1d-7e714dab30ac,Dbając o staw łokciowy"," nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem.,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
8fe64f76-80a2-4b9e-92ce-2a7963e95032,Skup się na prawidłowym oddychaniu.,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
310418d2-06f7-4555-9ac0-d53ee567af66,Nie odbijaj sztangi od klatki piersiowej,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
a8456f36-a040-4e5b-9857-4ba05c669d4d,Tempo opuszczania sztangi powinno być dwa razy wolniejsze niż jej wyciskanie.,ffb7185e-ceb0-42d9-8d28-c155c97b39ec
4b28e03d-5e84-4902-a391-b04b4689f7d8,Dobierz odpowiedni ciężar"," musi sprawiać trudność"," ale nie może przyczyniać się do utraty prawidłowej techniki.,04265eea-7936-4f06-a9c8-a6f8c782b8d1
60be1089-2285-47a6-8b29-67e417639b85,Ćwiczenie wykonuj w spokojny"," kontrolowany sposób.,04265eea-7936-4f06-a9c8-a6f8c782b8d1
8c41a245-87f6-4e8b-ab99-32088f83eec3,Utrzymaj stałe napięcie ciała.,04265eea-7936-4f06-a9c8-a6f8c782b8d1
df6327cb-6c58-4e61-a035-3ac043c93599,Warunkiem do wykonania ćwiczenia jest zdolność utrzymania prostych pleców.,4f92b532-a70b-44b7-b5a4-d87a692c9d2c
6ad0220f-e6b7-41a1-94cd-c9d0d42e514a,Ćwiczenie wykonuj powoli"," z pełną kontrolą.,4f92b532-a70b-44b7-b5a4-d87a692c9d2c
351f84c4-144f-4737-88dc-ed1cf22a7a60,Pamiętaj o ustabilizowaniu sylwetki poprzez uruchomienie tłoczni brzusznej"," czyli wdech przeponowy oraz napięcie mięśni brzucha.,4f92b532-a70b-44b7-b5a4-d87a692c9d2c
30ed5365-9d6d-44df-b17a-9c8d6aa7fe1b,W celu wzmocnienia chwytu jedną dłonią możesz chwycić sztangę podchwytem.,4f92b532-a70b-44b7-b5a4-d87a692c9d2c
d97e9b65-2ab0-4ad4-9de1-4e67a586053a,Mięśnie brzucha oraz pośladkowe powinny być napięte przez cały czas trwania ćwiczenia.,74dff9b3-f931-446b-97ae-1cdbf2bdf2fa
c0fa5224-e394-4fc8-9e80-c150a9c234ae,Dolny odcinek pleców nie powinien być nadmiernie wygięty.,74dff9b3-f931-446b-97ae-1cdbf2bdf2fa
fca37704-598c-4d67-9731-630c88bf2a38,Oddychaj podczas utrzymywania izometrycznego skurczu.,74dff9b3-f931-446b-97ae-1cdbf2bdf2fa
2e20a791-53df-43b4-8637-16ead89fa71b,W celu zwiększenia intensywności ćwiczenia unieś nieznacznie jedną nogę lub użyj obciążenia.,74dff9b3-f931-446b-97ae-1cdbf2bdf2fa
1aef3518-1ae1-4fe8-89aa-b1b94cf02970,Unikaj kołysania tułowiem i „zarzucania” ciała w górę. Nie odbijaj się także z nóg.,3ec54b2b-a46c-4bb0-b301-612757448915
bb725ba5-0dce-4878-8caa-304b42f44a36,Ćwiczenie wykonuj powoli"," z pełnym wyczuciem zaangażowanej grupy mięśniowej.,3ec54b2b-a46c-4bb0-b301-612757448915
f38beabd-88fc-4cb8-9edd-39a075b6c515,Postaraj się inicjować ruch z mięśni grzbietu"," a nie z ramion.,3ec54b2b-a46c-4bb0-b301-612757448915
9d9e82d3-2bb5-4795-a55a-a2be1763d6d1,Podczas wykonywania ruchu skup się na pracy łopatek.,3ec54b2b-a46c-4bb0-b301-612757448915
71c71766-0de4-419a-a214-0249da7e17db,Zwróć uwagę na prawidłowe oddychanie.,3ec54b2b-a46c-4bb0-b301-612757448915
104c5b72-502b-4533-a2f4-c5e21cc82463,Utrzymuj proste plecy podczas wykonywania ćwiczenia.,9d913d00-3848-40e0-9137-99a9a653ad0d
3038be72-cb42-4f96-8fb3-4e33a5c0003f,Podczas wykonywania ruchu skup się na pracy łopatek.,9d913d00-3848-40e0-9137-99a9a653ad0d
8d6c46e7-873b-4c80-aeab-d969ee81e456,Zwróć uwagę na prawidłowe oddychanie.,9d913d00-3848-40e0-9137-99a9a653ad0d
68e68aa3-11af-4fa1-9647-c5e55559d0cf,Postaraj się wykonywać ruch poprzez mocną pracę mięśni grzbietu.,9d913d00-3848-40e0-9137-99a9a653ad0d
7eb24407-638a-4c24-800f-ab32898d917b,Utrzymuj stałe napięcie mięśni.,5c488d3e-c099-4e19-a236-55fb5599793c
6aaf1a39-b087-4032-b11c-3adfbf62062a,Skup się na prawidłowym oddychaniu.,5c488d3e-c099-4e19-a236-55fb5599793c
de775579-c27f-45ef-9521-259a64b18bc9,Bądź skoncentrowany"," utrzymuj łopatki ze sobą"," nie pracuj barkami.,5c488d3e-c099-4e19-a236-55fb5599793c
5a0acf79-ce8e-4fa5-8091-294fc7b38a2c,Nie kołysz tułowiem.,5c488d3e-c099-4e19-a236-55fb5599793c
